CODE,Filo,Clase
A060,Amoebozoa,Archamoebae
A061,Amoebozoa,Archamoebae
A062,Amoebozoa,Archamoebae
A063,Amoebozoa,Archamoebae
A064,Amoebozoa,Archamoebae
A066,Amoebozoa,Archamoebae
A067,Amoebozoa,Archamoebae
A068,Amoebozoa,Archamoebae
A069,Amoebozoa,Archamoebae
A070,Ciliophora,Litostomatea
A071,Metamonada,Fornicata
A072,Apicomplexa,Conoisasida
A078,,
A079,,
A750,Arthropoda,Insecta
B580,Miozoa,Conoidasida
B588,Miozoa,Conoidasida
B589,Apicomplexa,Conoidasida
B601,Amoebozoa,Discosea
B608,,
B64X,,
B653,Platyhelminthes,Trematoda
B658,Platyhelminthes,Trematoda
B662,Platyhelminthes,Trematodaÿ
B664,Platyhelminthes,Trematodaÿ
B669,Platyhelminthes,Trematodaÿ
B677,Platyhelminthes,Cestoda
B681,Platyhelminthes,Cestoda
B689,Platyhelminthes,Cestoda
B690,Platyhelminthes,Cestoda
B699,Platyhelminthes,Cestoda
B700,Platyhelminthes,Cestoda
B701,Platyhelminthes,Cestoda
B719,Platyhelminthes,Cestoda
B748,Nematoda,Secernentea
B749,Nematoda,Secernentea
B760,Nematoda,Secernentea
B768,Nematoda,Secernentea
B769,Nematoda,Secernentea
B770,Nematoda,Secernentea
B778,Nematoda,Secernentea
B779,Nematoda,Secernentea
B780,Nematoda,Secernentea
B781,Nematoda,Secernentea
B789,Nematoda,Secernentea
B79X,Nematoda,Adenophorea
B80X,Nematoda,Secernentea
B810,Platyhelminthes,Trematoda
B812,Nematoda,Secernentea
B814,,
B818,,
B820,,
B830,Nematoda,Secernentea
B832,Nematoda,
B838,,
B839,,
B850,Arthropoda,Insecta
B851,Arthropoda,Insecta
B852,Arthropoda,Insecta
B853,Arthropoda,Insecta
B854,Arthropoda,Insecta
B86X,Arthropoda,Arachnida
B870,Arthropoda,Insecta
B871,Arthropoda,Insecta
B872,Arthropoda,Insecta
B873,Arthropoda,Insecta
B878,Arthropoda,Insecta
B879,Arthropoda,Insecta
B880,Arthropoda,Arachnida
B881,Arthropoda,Malacostraca
B882,Arthropoda,
B889,,
